EIN,Name,DonorAdvisedFundsHeldCnt,DonorAdvisedFundsContriAmt,DonorAdvisedFundsGrantsAmt
362171714,InterVarsity Christian FellowshipUSA,1,37905,37000
841190575,BIBLICA MINISTRIES FOUNDATION,0,0,987
416042488,University of Minnesota Foundation,1,0,16648
814476503,VENN FOUNDATION,23,686293,95000
560693436,ARTS & SCIENCE COUNCIL CHARLOTTE/MECKLENBURG INC,3,0,0
205602442,The Stronghold Fund,,,
910575950,JEWISH FEDERATION OF GREATER SEATTLE,63,1500051,1791012
300468693,STOREHOUSE MISSION SUPPORT INC,0,0,65619
570352247,Columbia International University,4,39986,365268
522028612,WASHINGTON AREA WOMEN'S FOUNDATION,4,48800,106039
521086825,ARTS AND HUMANITIES COUNCIL OF MONTGOMERY COUNTY,7,45144,49423
46192704,MIT HILLEL FOUNDATION INC,,,
943007979,MARIN COMMUNITY FOUNDATION,376,78502401,40107723
300234776,THE PUBLIC LIBRARY OF CINCINNATI AND HAMILTON COUNTY FOUNDATION INC,,,
261720415,MAINE CREDIT UNION'S CAMPAIGN FOR ENDING HUNGER,57,626451,617082
237310660,HUMBOLDT AREA FOUNDATION,192,1738769,1030902
251017602,JEWISH FEDERATION OF GREATER PITTSBURGH,347,5745396,6081139
43342411,WOMEN'S FUND OF WESTERN MASSACHUSETTS INC,1,0,897
430654876,WILLIAM WOODS UNIVERSITY,1,,11520
650788118,TORAH ACADEMY OF BOCA RATON INC,,,
60970466,NEW CANAAN COMMUNITY FOUNDATION INC,38,514550,304875
391815578,FORWARD COMMUNITY INVESTMENTS INC,8,0,2000
521297129,HELICOPTER FOUNDATION INTERNATIONAL INC,1,,
742230572,CONVERSE COUNTY LIBRARY FOUNDATION,,,
931040496,BENTON HABITAT FOR HUMANITY,1,0,0
542101090,DAYTON FOUNDATION PLUS INC,,,
382468643,JACKSON COMMUNITY COLLEGE FOUNDATION,2,,34500
50259003,JEWISH FEDERATION FOUNDATION OF GREATER RHODE ISLAND,97,673751,1774351
237072762,MERCY FOUNDATION,5,250615,676255
330378778,ORANGE COUNTY COMMUNITY FOUNDATION,353,84937654,71333707
463794874,CAMP DUDLEY FOUNDATION INC,,,
521734695,KENNEDY KRIEGER FOUNDATION INC,1,0,0
271462229,INVERSANT INC,0,86276,
20714460,EDEN BRIDGE FOUNDATION,69,6657555,3066976
460942102,DONATEWELL,83,34994344,34960832
581671241,WEST TN HEALTHCARE FOUNDATION INC,31,2447304,2495564
132992977,THE ASTRAEA FOUNDATION INC,10,423541,370020
221714130,JEWISH COMMUNITY FOUNDATION OF GREATER METROWEST NJ,293,73691157,12500320
813137336,NORTHERN ARIZONA HEALTHCARE FOUNDATION,5,1221000,640666
911714854,EVERGREEN SCHOOL DISTRICT FOUNDATION 114,2,130424,
581542599,THE GERMAN SCHOOL OF ATLANTA INC,,,
381374230,HILLSDALE COLLEGE,6,10000,148211
390827885,COMMUNITY FOUNDATION OF CENTRAL WISCONSIN INC,216,987304,372556
43280353,COMMUNITY FOUNDATION OF SOUTHEASTERN MASSACHUSETTS INC,55,1171069,2153779
562170220,COMMUNITY FOUNDATION OF BURKE COUNTY,18,292264,227927
746054978,SEGUIN CONSERVATION SOCIETY,,,
951644037,PEPPERDINE UNIVERSITY,6,100000,540790
463980783,HOWE FAMILY FOUNDATION,1,610000,486613
521314847,ADVENTIST DEVELOPMENT & RELIEF AGENCY INTERNATIONAL,,,
231352614,JACK M BARRACK HEBREW ACADEMY,1,,
464242715,Clark County Community Foundation Inc,1,0,0
237011281,MARSHALL COMMUNITY FOUNDATION,11,46600,132100
942860375,NEVADA WOMEN'S FUND,42,259294,105232
311125328,BECKLEY AREA FOUNDATION INC,41,23185,77799
481222277,COUNCIL GROVE AREA FOUNDATION,3,2237,39462
231500085,JEWISH FEDERATION OF GREATER PHILADELPHIA,252,7635568,8814126
821388190,Horizon Community Funds of Northern Kentucky,17,12308982,2370066
911648730,SAN JUAN ISLAND COMMUNITY FOUNDATION,23,1826206,237305
383941057,CATHOLIC COMMUNITY FOUNDATION OF LOS ANGELES,77,65856606,52403335
571091138,AFRICAN AMERICAN CREDIT UNION COALITION,,,
475463138,COASTAL BEND DISASTER RECOVERY GROUP,5,0,340
42127023,JEWISH FEDERATION OF WESTERN MASSACHUSETTS INC,77,837966,1580799
593371653,COMMUNITY FOUNDATION OF NORTHWEST FLORIDA INC,8,12276,362038
610514703,KOSAIR CHARITIES COMMITTEE INC,1,46103,99520
363819818,Highland Park Community Foundation,,,
232982141,CENTRAL SUSQUEHANNA COMMUNITY FOUNDATION,35,138524,145070
650181758,GREATER BOCA RATON CHAMBER OF COMMERCE EDUCATION FOUNDATION INC,2,,
203654399,Lake County Community Foundation,15,354468,280500
760821144,The Community Foundation of Will County,38,193899,141640
621818929,BELLEVUE FOUNDATION INC,38,405589,539996
660550404,RYDER VILLAGE II INC,0,0,0
410832480,MINNESOTA COMMUNITY FOUNDATION,258,19395212,17654676
416031510,THE SAINT PAUL FOUNDATION,490,25069793,35564700
473487091,GREATER WHITE BEAR LAKE COMMUNITY FOUNDATION,10,40000,115750
815265328,DIVISION OF INDIAN WORK,6,719274,330786
383032185,PETOSKEY-HARBOR SPRINGS AREA COMMUNITY FOUNDATION,79,1890460,2048700
382418086,BAY AREA COMMUNITY FOUNDATION,24,202338,119354
263305761,DESERT BOTANICAL GARDEN FOUNDATION,,,
421427739,MONROE COUNTY IOWA COMMUNITY FOUNDATION,2,59140,41500
840829226,ASPEN COMMUNITY FOUNDATION,121,5019913,6245289
911325007,THE PRIDE FOUNDATION,50,374911,422225
742225369,THE COMMUNITY FOUNDATION OF THE TEXAS HILL COUNTRY INC,51,600840,636209
510177031,FOUNDATION FOR INFORMATION TECHNOLOGY EDUCATION,4,0,6240
356028362,THE PORTLAND FOUNDATION,3,0,34211
953402489,NORTH AMERICAN VERSATILE HUNTING DOG ASSOCIATION,2,250,1010
364150724,OAK PARK-RIVER FOREST COMMUNITY FOUNDATION,46,1094915,1310702
911754933,WASHINGTON WOMEN'S FOUNDATION,154,421000,306250
10782573,Advisors Charitable Gift Fund,332,5954585,7422063
990170479,HAWAII AUTOMOBILE DEALER'S ASSOCIATION,,,
452403156,JEWISH FOUNDATION OF GREATER NEW HAVEN INC,233,954339,998389
275098203,COMMUNITY FOUNDATION FOR OCALA MARION COUNTY INC,16,324315,0
311062282,NEWARK CAMPUS DEVELOPMENT FUND,,,
770312582,COMMUNITY FOUNDATION FOR SAN BENITO COUNTY,98,7273502,-1870596
760082098,MONTGOMERY COUNTY COMMUNITY FOUNDATION,10,75564,30600
391967443,WISCONSIN BUILDERS FOUNDATION INC,9,19541,
382776652,CAPITAL REGION COMMUNITY FOUNDATION,68,798872,417980
386114135,COMMUNITY FOUNDATION FOR MUSKEGON COUNTY,295,2834188,2080603
411677288,LAKE REGION HEALTHCARE FOUNDATION,26,205752,57663
410870082,CEDAR VALLEY SERVICES INC,,60775,
161587553,COMMUNITY FOUNDATION OF TOMPKINS COUNTY INC,48,1359213,1308348
363717013,BRETHREN FOUNDATION INC,10,247498,-84575
222721171,GREENWICH EMERGENCY MEDICAL SERVICE INC,5,12000,10000
316018703,THE TROY FOUNDATION,40,3042608,2892744
455092280,PRAIRIE RIDGE FOUNDATION INC,1,76621,75621
465431878,GREATER TITUSVILLE DEVELOPMENT FOUNDATIO,1,,
383333202,KALAMAZOO COMMUNITY FOUNDATION,193,3656992,3827518
351573468,MSD OF LAWRENCE TOWNSHIP FOUNDATION,2,,4500
352048001,RIPLEY COUNTY COMMUNITY FOUNDATION INC,10,6181,24200
311662183,BUILDERS EXCHANGE FOUNDATION,1,,1
208367797,NORTH POLE LIONS FOUNDATION,50000,0,0
710699939,HEIFER INTERNATIONAL FOUNDATION,6,,20100
630833692,BIRMINGHAM JEWISH FOUNDATION INC,309,1189547,1270515
256058560,PITTSBURGH HISTORY & LANDMARKS FOUNDATION,24,68325,112875
650208290,CORAL GABLES COMMUNITY FOUNDATION INC,12,15140,152511
264322369,ACT FOR ALEXANDRIA,74,2387692,1461429
455091854,THE ADVISE US FOUNDATION,15,13111,18250
581605736,SCORE INTERNATIONAL INC,2,422132,637410
911854545,NORTHWEST HEALTH FOUNDATION,0,0,0
133028060,OPEN SPACE INSTITUTE LAND TRUST INC,2,10500,
341846432,THE BARBERTON COMMUNITY FOUNDATION,7,4175,800
320087353,CHILDREN'S HOSPITAL OF MICHIGAN FOUNDATION,3,112075,189400
352038531,OHIO COUNTY COMMUNITY FOUNDATION INC,6,3348,8476
363500853,WINONA COMMUNITY FOUNDATION,53,578616,547203
751709180,COMMUNITY FOUNDATION OF WEST TEXAS,67,2188707,778989
10391479,Maine Community Foundation Inc,380,29483634,21005464
363348160,CHICAGO FOUNDATION FOR WOMEN,11,73101,77500
812576201,THE INDEPENDENT CHARITABLE GIFT FUND,49,6367861,67174
203879466,ROCHELLE AREA COMMUNITY FOUNDATION,6,643504,850
430899770,MISSOURI UNITED METHODIST FOUNDATION INC,3,35000,54280
311197385,COMMUNITY FOUNDATIONS INC,18,1505328,2341479
381360530,ST VINCENT CATHOLIC CHARITIES,1,0,580
351960379,BROWN COUNTY COMMUNITY FOUNDATION INC,21,1273905,9900
316044264,THE COLUMBUS FOUNDATION,1155,78627557,144909116
222714023,AMERICAN BAPTIST FOUNDATION,9,11209,286150
300086426,MERCY AND UNITY HOSPITALS FOUNDATION,5,2917,52289
260269131,THE CURE STARTS NOW,1,,543334
341904353,COMMUNITY FOUNDATION OF THE MAHONING VALLEY,44,497235,941975
300210866,NORTHERN MICHIGAN CATHOLIC FOUNDATION,1,100000,
161512085,THE COMMUNITY FOUNDATION FOR SOUTH CENTRAL NEW YORK INC,36,771487,413772
830400149,THE CATHOLIC COMMUNITY FOUNDATION OF SANTA CLARA COUNTY,63,4178057,797945
822958346,NATIONAL CHARITABLE ENDOWMENT INC,6,14447801,144750
311753320,PRISON FELLOWSHIP MINISTRIES FOUNDATION,3,0,0
383569922,NEPHCURE KIDNEY INTERNATIONAL,1,,
610445838,BINGHAM CHILD GUIDANCE CLINIC INC,,302390,302390
223525184,MONTCLAIR EARLY CHILDHOOD CORP MONTCLAIR COMMUNITY PRE-K,1,18705,0
392034571,THE OSHKOSH AREA COMMUNITY FOUNDATION CORPORATION,161,1880140,1444737
426549922,HEARTLAND CHARITABLE TRUST,74,2096821,1189701
351520591,EVANSVILLE PARKS FOUNDATION,39,6687,
470458128,LINCOLN COMMUNITY FOUNDATION INC,440,8493197,7069432
942891517,SACRAMENTO REGION COMMUNITY FOUNDATION,278,3677655,6271375
421244071,INDIANOLA ATHLETIC BOOSTER CLUB INC,6,2252,0
650350357,THE MIAMI FOUNDATION INC,272,16727685,21052486
541649268,JOHN RANDOLPH FOUNDATION INC,2,99133,
366008100,DAVID C COOK,1,0,37000
237359721,MARIETTA COMMUNITY FOUNDATION,,,
205652970,COBB COMMUNITY FOUNDATION INC,57,1828471,1007818
510191736,PROVIDENCE COLLEGE ALUMNI ASSOCIATION NEW HAVEN CHAPTER,1,0,0
237372791,YELLOW SPRINGS COMMUNITY FOUNDATION,6,22883,37371
510157964,COMMUNITY FIRST FOUNDATION,68,692892,610909
850251319,New Mexico Ground Water Association,,,
911007459,GREATER TACOMA COMMUNITY FOUNDATION,84,4921718,1765610
911733104,COLUMBIA BASIN FOUNDATION,4,34000,30371
680560974,BREMERTON SCHOOLS AND ALUMNI FOUNDATION,2,10600,
416011702,MAYO CLINIC,4,1575000,35000
161562220,JEWISH CENTER AND FEDERATION OF THE TWIN TIERS INC,1,200,500
42911227,ASSOCIATION FOR ACADEMIC PSYCHIATRY LTD C/O LISA HEDRICK,,,
570793960,CENTRAL CAROLINA COMMUNITY FOUNDATION,231,23175657,21182659
541682189,RESTON RAIDERS HOCKEY CLUB INC,2,6434,7790
411888902,REGIONS HOSPITAL FOUNDATION,14,210000,72000
222712160,THE VERMONT COMMUNITY FOUNDATION,282,14402702,8458496
270418124,THE STERLING DONOR ADVISED FUND C/O STERLING FOUNDATION MANAGEMENT LLC,31,2919495,12821926
208164151,MOBILE GIVING FOUNDATION INC,2,2077702,2077702
233015130,The American College Foundation,1,117931,
200194557,THE DUBLIN FOUNDATION,4,75683,32000
133421446,THE RESOURCE FOUNDATION INC,7,1158500,1423217
204780760,CATHOLIC FINANCIAL LIFE FOUNDATION INC,5,338670,37731
581557995,COMMUNITY FOUNDATION FOR NORTHEAST GEORGIA,211,6362968,8127239
911036971,SOCIAL JUSTICE FUND NORTHWEST,10,3927680,892834
206390272,Laguna Beach Community Foundation,0,0,0
473574130,IMPACT INVESTING CHARITABLE FOUNDATION INC,184,23718794,19272752
473609541,ELEOS CAPITAL INC,1,138323,33000
341358701,THE ARTS COMMISSION OF GREATER TOLEDO I,,819924,847320
10430261,MAINE WOMEN'S FUND,2,10268,5500
556024430,THE GREATER KANAWHA VALLEY FOUNDATION,99,557994,3118590
752890371,THE DALLAS FOUNDATION,310,20283445,24963134
20222163,New Hampshire Catholic Charities,1,,
710582373,SOUTH ARKANSAS COMMUNITY COLLEGE FOUNDATION INC,,,
911250104,BLUE MOUNTAIN COMMUNITY FOUNDATION,28,185536,243794
237252609,MS FOUNDATION FOR WOMEN INC,7,271643,304000
631074254,Limestone Area Community Foundation Inc,6,2500,4000
752048261,TEXAS WOMEN'S FOUNDATION,48,1522030,926236
592391119,Palm Healthcare Foundation Inc,7,119375,322577
161599356,JEWISH COMMUNITY FOUNDATION OF CENTRAL NEW YORK INC,137,1844176,1278285
411744184,CATHOLIC COMMUNITY FOUNDATION OF MINNESOTA,285,12906900,10884944
364402089,COMMUNITY FOUNDATION OF NORTHERN IL,73,80160,300598
341375936,FAMILY AND CHILD ABUSE PREVENTION CENTER,1,444230,-2774
411744184,CATHOLIC COMMUNITY FOUNDATION OF MINNESOTA,272,16186828,8766663
860250582,GREATER GREEN VALLEY COMMUNITY FDN INC,6,25840,0
376016936,TAZEWELL COUNTY RESOURCE CENTERS INC,,,
416052144,ARROWHEAD ECONOMIC OPPORTUNITY AGENCY INCORPORATED,2,0,0
450404011,GRAND FORKS FOUNDATION FOR EDUCATION INC,1,0,0
341873212,THE GREATER ALLIANCE FOUNDATION INC C/O DOUG SCHWARZ,15,181531,466920
660177776,INTER AMERICAN UNIVERSITY OF PUERTO RICO,6,0,0
160743096,GIRL SCOUTS OF WESTERN NEW YORK INC,,,
376005963,Springfield Art Association of Edwards Place,3,310584,666988
640845750,COMMUNITY FOUNDATION FOR MISSISSIPPI,63,1012722,1182364
226064597,SOMERSET COUNTY 4-H ASSOCIATION,8,15525,6000
626077703,JEWISH FEDERATION OF NASHVILLE & MIDDLE TENNESSEE,574,762635,1552113
363454285,SOUTHERN MINNESOTA INITIATIVE FOUNDATION,10,1173615,51125
232657933,UNITED WAY OF THE GREATER LEHIGH VALLEY,2,,1310
226028959,UNITED WAY OF BERGEN COUNTY,1,4846607,4637266
237298290,MUSIC CENTER FOUNDATION,13,64397,449068
203096562,WOMEN'S FUND FOR THE FOX VALLEY REGION INC,34,60954,62798
352014369,SCOTT COUNTY COMMUNITY FOUNDATION INC,29,30475,36915
383021071,BRANCH COUNTY COMMUNITY FOUNDATION,13,7450,28500
840970315,THE JEFFERSON FOUNDATION,20,824809,772491
570889451,JACKSON PREPARATORY SCHOOL FOUNDATION,,,
530242652,NATURE CONSERVANCY,31,1274972,1998284
311384772,COLUMBUS JEWISH FOUNDATION,694,7361409,5846475
591059214,SAINT EDWARD'S SCHOOL INC,,,
510345619,PRESERVATION DELAWARE INC,3,0,0
880098500,JEWISH FEDERATION OF LAS VEGAS SIGESMUND CENTER,,,
860806832,XAVIER FOUNDATION INC,,,
841087689,Bethesda Ministries,3,0,6108
850425147,THE TAOS COMMUNITY FOUNDATION INC,49,447593,404044
590683258,UNITED WAY OF PALM BEACH COUNTY INC,2,45645,70180
582054582,IN TOUCH FOUNDATION INC,4,,13884
273594856,MAKE AN IMPACT FOUNDATION,5,30769,13000
232732238,BBC FOUNDATION INC,2,,
136104086,PEF ISRAEL ENDOWMENT FUNDS INC,64,13823200,16078080
521762747,FACIOSCAPULOHUMERAL SOCIETY,1,500000,1000000
314423899,UNITED WAY OF DELAWARE COUNTY,55,52295,46458
990078306,HAWAII PREPARATORY ACADEMY,,,
526024192,ASSOCIATED JEWISH CHARITIES OF BALTIMORE,375,25919000,21355000
237444497,ARAB COMMUNITY CENTER FOR ECONOMIC AND SOCIAL SERVICES,101,1076861,812060
616053466,BLUE GRASS COMMUNITY FOUNDATION INC,270,8093788,4735856
202772132,ADVANCING THE GOSPEL IN ANGOLA INC,1,0,100000
520584118,THE MARYLAND SCHOOL FOR THE BLIND,4,10029,537
351827813,COMMUNITY FOUNDATION OF SOUTHERN INDIANA INC,49,108100,224908
561380796,TRIANGLE COMMUNITY FOUNDATION INC,477,33299833,22353988
476022615,Back to the Bible Foundation,20,503066,453798
263577879,Vipassana Community Foundation,2,311643,50000
591052433,GULF COAST COMMUNITY FOUNDATION INC,389,42097018,31083202
362800788,Community Treatment Inc,1,681198,
237397882,JEWISH COMMUNITY FOUNDATION OF GREATER LONG BEACH & WEST ORANGE COUNTY,69,726538,481136
450526209,HIGH PLAINS HERITAGE FOUNDATION,9,,
263421174,COMMUNITY FOUNDATION TRUST C/O RAY CARAWAY,,,
43266789,FOUNDATION FOR METROWEST INC,48,309965,406921
510140462,CAPE COD FOUNDATION INC,76,1080235,1755465
231433899,THE ACADEMY OF THE NEW CHURCH,1,,90000
841612422,GLOBAL GREENGRANTS FUND,7,4200299,3279828
840404231,COLORADO SEMINARY,1,0,584790
161372532,CHILD AND FAMILY SERVICES FOUNDATION,,,
160367980,BUFFALO SEMINARY,,,
150532239,St Lawrence University,1,0,0
510064315,JEWISH FEDERATION OF DELAWARE INC,52,849983,653793
263416476,PHIL HARDBERGER PARK CONSERVANCY FKA VOELCKER PARK CONSERVANCY,,,
316027287,THE DAYTON FOUNDATION,174,5832493,8153641
16011501,University of Maine Foundation,9,26433,240279
411855173,CENTRACARE HEALTH FOUNDATION,24,9300,69978
831905906,PHILANTHROPIC IMPACT FUND,,,
880362053,THE PARASOL TAHOE COMMUNITY FOUNDATION INC,67,39970107,3198700
550742377,EASTERN WEST VIRGINIA COMMUNITY FOUNDATION,50,634178,417661
386057160,BERRIEN COMMUNITY FOUNDATION INC,123,1891169,2576975
752045832,COMMUNITY FOUNDATION OF ABILENE,129,5106797,3750397
942985552,ENLOE HEALTH FOUNDATION,2,459660,27000
455085493,WISEHEART FOUNDATION INC,29,3102688,2219737
591945109,JEWISH FEDERATION OF SOUTH PALM BEACH COUNTY INC,184,1676900,2080649
232303925,PENNSYLVANIA BAR FOUNDATION,7,7875,22900
480673284,GOODWILL INDUSTRIES OF KANSAS INC,2,,
351986569,HARRISON COUNTY COMMUNITY FOUNDATION INC,2,100,2600
596155092,HOBE SOUND COMMUNITY CHEST INC,1,,1000
42171191,INTER-CHURCH COUNCIL OF GREATER NEW BEDFORDINC,1,,
562121992,WACCAMAW COMMUNITY FOUNDATION,65,1331726,1806518
510080692,THE PILOT SCHOOL INCORPORATED,,,
66036461,COMMUNITY FOUNDATION OF GREATER NEW BRITAIN,38,266914,122409
481215574,GREATER MANHATTAN COMMUNITY FOUNDATION,136,3903653,1902704
341961329,HOLMES COUNTY COMMUNITY FOUNDATION C/O GARRETT ROACH TRUSTEE,1,0,0
270439529,GOLDSTEIN FOUNDATION,2,0,185000
581960821,GEORGIA COMMUNITY FOUNDATION INC,11,734225,788226
246013117,FIRST COMMUNITY FOUNDATION PARTNERSHIP OF PENNSYLVANIA,27,632910,95331
352000788,PORTER COUNTY COMMUNITY FOUNDATION INC,64,1035099,2304863
953645825,JEWISH COMMUNITY FOUNDATION OF ORANGE COUNTY,296,14451868,10268650
300748315,BNY MELLON CHARITABLE GIFT FUND C/O BNY MELLON NA,503,91780055,28670586
66038074,CONNECTICUT COMMUNITY FOUNDATION INC,76,644827,590127
311634474,Latin Arts Association of Fort Worth,0,0,0
474252695,COMMUNITY FOUNDATION OF GREATER ROME INC,16,429975,200406
113369608,HOMECOMING COMING HOME TO LONG ISLAND INC,,,
233015130,The American College Foundation,1,115569,0
710236863,SHARE FOUNDATION,2,20025,
660537553,RYDER ASSISTED CARE INC,0,0,0
352087649,COMMUNITY FOUNDATION OF SWITZERLAND COUNTY INC,13,25798,10610
660537554,RYDER VILLAGE INC,0,0,0
341322781,COMMUNITY FOUNDATION OF LORAIN COUNTY,74,315338,1167199
381613280,BARBARA ANN KARMANOS CANCER INSTITUTE,2,-5084,100000
510181191,LIBERTY HILL FOUNDATION,66,5747631,4981188
391572034,NATURAL RESOURCES FOUNDATION OF WISCONSININC,14,56790,8411
201260545,JEWISH COMMUNITY FOUNDATION INC,169,2753728,1622497
731634145,SAN ANGELO AREA FOUNDATION,45,3772793,2438524
930946020,SKY LAKES MEDICAL CENTER FOUNDATION,9,92315,94389
472581417,NORTHWEST NORTH DAKOTA COMMUNITY FOUNDATION INC,1,0,25075
630695166,THE COMMUNITY FOUNDATION OF SOUTH ALABAMA,125,1213439,1465237
456012318,Dakota Medical Foundation,45,768527,373044
237034152,GRAND TETON MUSIC FESTIVAL INC,1,,
231379512,DUNWOODY VILLAGE,6,-328804,170104
455334205,National Academy of Elder Law Attorneys Foundation Inc,1,100663,
352019497,THE PORTLAND FOUNDATION INC,6,30000,20150
742610167,PTA TEXAS CONGRESS 580 ANDERSON HIGH SCHOOL PTSA,0,65000,315188
391577472,COMMUNITY FOUNDATION OF NORTH CENTRAL WI,126,2884835,1755493
481241974,THOMAS COUNTY COMMUNITY FOUNDATION INC,17,10469,18700
351870979,DECATUR COUNTY COMMUNITY FOUNDATION INC,12,38485,75287
237109897,WISCONSIN INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS' EDUCATION FOUNDATION INC,2,54000,12000
460427565,MILBANK COMMUNITY FOUNDATION,14,355897,253058
650648968,COMMUNITY FOUNDATION OF THE FLORIDA KEYS,37,104634,239176
821517696,AMALGAMATED CHARITABLE FOUNDATION INC,4,2010989,1308343
274126970,Youthprise,1,15000,0
251761379,CENTRAL PENNSYLVANIA COMMUNITY FOUNDATION,166,649707,874555
912155208,BAINBRIDGE COMMUNITY FOUNDATION,40,2034796,881538
916013536,SEATTLE FOUNDATION,582,89235885,85243789
473373953,WATERLOO COMMUNITY FOUNDATION,3,28270,
156016932,THE COMMUNITY FOUNDATION OF HERKIMER AND ONEIDA COUNTIES INC,119,11215597,3219481
911751020,WILLIAM C & JANE B MARCIL FAMILY FOUNDATION,1,0,200000
200874857,LANCASTER COUNTY COMMUNITY FOUNDATION,44,11072828,2913156
542035996,HAMPTON ROADS COMMUNITY FOUNDATION,139,10824098,8074791
481117413,Community Foundation of Southwest Kansas,11,252561,0
591743773,MCDOWELL TECHNICAL COMMUNITY COLLEGE FOUNDATION INC,,,
742215035,VAIL VALLEY FOUNDATION,22,696006,606000
150626910,CENTRAL NEW YORK COMMUNITY FOUNDATION INC,341,9224141,5898964
943188703,COMMUNITY FOUNDATION OF SNOHOMISH COUNTY,43,1556206,1384812
931293344,NORTHWEST HEALTH FOUNDATION FUND II,8,661043,1927000
386087967,ANN ARBOR AREA COMMUNITY FOUNDATION,122,1010604,2845175
860250582,GREATER GREEN VALLEY COMMUNITY FDN INC,8,452500,
943201522,ASIAN PACIFIC FUND,16,668934,502821
840404235,MILE HIGH UNITED WAY INC,1,95611,6000
416052144,ARROWHEAD ECONOMIC OPPORTUNITY AGENCY INCORPORATED,2,0,0
364200821,PEORIA PUBLIC SCHOOLS FOUNDATION,,,
346515788,THE YOUNGSTOWN FOUNDATION PNC BANK NA,34,2701331,469240
680463586,AGC CONSTRUCTION EDUCATION FOUNDATION,1,0,0
132522784,ROBERT F KENNEDY CENTER FOR JUSTICE AND HUMAN RIGHTS,,,
251782197,CENTRE COUNTY COMMUNITY FOUNDATION INC,47,-287999,256163
26005625,New Hampshire Charitable Foundation,555,49924185,25488079
590738429,Junior Chamber International (JCI) Inc,5,47590,133286
201492898,BOYS AND GIRLS CLUB OF NORTHEASTERN PENNSYLVANIA FOUNDATION,1,0,0
20702439,MINNESOTA REAL ESTATE FOUNDATION,1,,
954124436,THE FULLER FOUNDATION,41,6916607,15126332
316038277,HAMILTON COMMUNITY FOUNDATION,94,1311998,1395232
411952989,COURAGE KENNY FOUNDATION,2,0,43611
840890204,ROCKY MOUNTAIN LIONS EYE BANK,1,,
391819945,COMMUNITY FOUNDATION OF DUNN COUNTY INC,9,182973,36725
946069890,SIERRA CLUB FOUNDATION,9,18064,51566
411761590,GRAND RAPIDS AREA COMMUNITY FOUNDATION,43,286372,210093
60970466,NEW CANAAN COMMUNITY FOUNDATION INC,39,511029,452800
376046127,DANVILLE AREA COMMUNITY COLLEGE FOUNDATION,2,,1500
473681860,HOPEWELL FUND,1,0,33773774
411635761,Women's Foundation of Minnesota,62,336055,823794
202430301,OREGON FFA FOUNDATION INC,8,118443,109158
391891064,EAU CLAIRE COMMUNITY FOUNDATION,62,957095,559890
943121390,THE COMMUNITY FOUNDATION OF SOUTH PUGET SOUND,34,5761452,279524
351815060,GREENE COUNTY FOUNDATION INC,3,15419,9724
141505623,THE COMMUNITY FOUNDATION FOR THE GREATER CAPITAL REGION INC,169,4791131,11981276
